t_contact_s,theta_err_t1_deg
0.947,9.109186627
0.948,9.109020202
0.949,9.108961831
0.95,9.10864829
0.951,9.108406097
0.952,9.108160523
0.953,9.107805302
0.954,9.107462243
0.955,9.107063921
0.956,9.106744782
0.957,9.106409234
0.958,9.105947891
0.959,9.105746998
0.96,9.105450595
0.961,9.105156124
0.962,9.104853799
0.963,9.104571795
0.964,9.104336526
0.965,9.104246055
0.966,9.104146642
0.967,9.103910706
0.968,9.103781398
0.969,9.1037175
0.97,9.103518369
0.971,9.103448354
0.972,9.103435332
0.973,9.103274641
0.974,9.10315865
0.975,9.102977462
0.976,9.102897543
0.977,9.102527369
0.978,9.1023701
0.979,9.101991554
0.98,9.101569621
0.981,9.101088805
0.982,9.100760663
0.983,9.100251215
0.984,9.099897023
0.985,9.099481714
0.986,9.099080719
0.987,9.09873856
0.988,9.098349877
0.989,9.098152923
0.99,9.097815553
0.991,9.09754737
0.992,9.097316
0.993,9.096973698
0.994,9.09680472
0.995,9.096545589
0.996,9.096290539
0.997,9.096174046
0.999,9.095731987
1,9.095646248
1.001,9.095453926
1.002,9.095230663
1.003,9.095044207
1.004,9.094597128
1.005,9.09432567
1.006,9.093861776
1.007,9.093278951
1.008,9.092819406
1.009,9.092343048
1.01,9.091758642
1.011,9.091285386
1.012,9.090647014
1.013,9.090149571
1.014,9.089422322
1.015,9.088875261
1.016,9.088288353
1.017,9.087793744
1.018,9.087333357
1.019,9.086834823
1.02,9.086477136
1.021,9.086214111
1.022,9.085954067
1.023,9.085662673
1.024,9.085436836
1.025,9.085043753
1.026,9.085011265
1.027,9.084652951
1.028,9.084450015
1.029,9.084228128
1.03,9.083975295
1.031,9.083593295
1.032,9.083159802
1.033,9.082669376
1.034,9.081895454
1.035,9.081282163
1.036,9.080724172
1.037,9.079983255
1.038,9.079422451
1.039,9.078682628
1.04,9.077782828
1.041,9.076859962
1.042,9.076074366
1.043,9.075469268
1.044,9.074812969
1.045,9.074232149
1.046,9.073550526
1.047,9.072993605
1.048,9.07262376
1.049,9.072203332
1.05,9.07181307
1.051,9.071376478
1.052,9.070965136
1.053,9.070845959
1.054,9.070397675
1.055,9.07006519
1.056,9.069777882
1.057,9.069335984
1.058,9.069007714
1.059,9.068530957
1.06,9.068017678
1.061,9.067306741
1.062,9.066622602
1.063,9.065845503
1.064,9.065088404
1.065,9.064411763
1.066,9.063609583
1.067,9.062688026
1.068,9.061800255
1.069,9.06087741
1.07,9.059916527
1.071,9.058951683
1.072,9.058092368
1.073,9.057419896
1.074,9.056589315
1.075,9.055943036
1.076,9.055429969
1.077,9.054853339
1.078,9.054367879
1.079,9.053977215
1.08,9.053514488
1.081,9.053146392
1.082,9.052773202
1.083,9.052414661
1.084,9.051937618
1.085,9.051576664
1.086,9.051187617
1.087,9.050581396
1.088,9.049928186
1.089,9.049274383
1.09,9.048592814
1.091,9.047648776
1.092,9.046914728
1.093,9.046022129
1.094,9.045079406
1.095,9.044183798
1.096,9.043209212
1.097,9.042199447
1.098,9.041287508
1.099,9.040190287
1.1,9.039334894
1.101,9.038506689
1.102,9.037836426
1.103,9.037107633
1.104,9.036444611
1.105,9.035896652
1.106,9.035358766
1.107,9.034768063
1.108,9.034369286
1.109,9.033882244
1.11,9.033519378
1.111,9.033011311
1.112,9.032488052
1.113,9.032007446
1.114,9.031406369
1.115,9.030800057
1.116,9.030087957
1.117,9.02914629
1.118,9.028217733
1.119,9.027314412
1.12,9.026211935
1.121,9.025233375
1.122,9.024130239
1.123,9.022933384
1.124,9.021855924
1.125,9.020860121
1.126,9.019941162
1.127,9.018997165
1.128,9.018101475
1.129,9.017382777
1.13,9.016624874
1.131,9.015909381
1.132,9.015476757
1.133,9.01495975
1.134,9.014537704
1.135,9.014052872
1.136,9.01366879
1.137,9.013077145
1.138,9.01262781
1.139,9.012145121
1.14,9.011552014
1.141,9.010703325
1.142,9.010031321
1.143,9.009377599
1.144,9.008656271
1.145,9.007690247
1.146,9.006635033
1.147,9.005430074
1.148,9.004207835
1.149,9.003149108
1.15,9.001944701
1.151,9.000747485
1.152,8.9995809
1.153,8.998428623
1.154,8.997452634
1.155,8.996404614
1.156,8.995548763
1.157,8.994834756
1.158,8.994156094
1.159,8.993588047
1.16,8.993138082
1.161,8.992594422
1.162,8.992130034
1.163,8.991726564
1.164,8.991275961
1.165,8.990677143
1.166,8.990301764
1.167,8.989684172
1.168,8.989233447
1.169,8.988511467
1.17,8.987577504
1.171,8.986567963
1.172,8.985500309
1.173,8.984405796
1.174,8.983346715
1.175,8.982205669
1.176,8.981010501
1.177,8.979923011
1.178,8.97870447
1.179,8.977713811
1.18,8.976547503
1.181,8.975670386
1.182,8.974762207
1.183,8.973852269
1.184,8.972893527
1.185,8.972228587
1.186,8.971578339
1.187,8.971135025
1.188,8.970679288
1.189,8.970084537
1.19,8.96975024
1.191,8.96930738
1.192,8.968880301
1.193,8.968336647
1.194,8.968009266
1.195,8.967307251
1.196,8.966657343
1.197,8.965831068
1.198,8.96506916
1.199,8.964089477
1.2,8.962966901
1.201,8.961948179
1.202,8.960874478
1.203,8.959705353
1.204,8.958527749
1.205,8.957416091
1.206,8.956424483
1.207,8.955320567
1.208,8.954353096
1.209,8.953488544
1.21,8.952606009
1.211,8.951856749
1.212,8.951202815
1.213,8.95080012
1.214,8.950409487
1.215,8.94996273
1.216,8.94957517
1.217,8.949098785
1.218,8.948697044
1.219,8.948198677
1.22,8.947649284
1.221,8.94717218
1.222,8.946552794
1.223,8.945709607
1.224,8.944938952
1.225,8.943975697
1.226,8.942928961
1.227,8.941823335
1.228,8.940599597
1.229,8.939609002
1.231,8.937179462
1.232,8.935927826
1.233,8.934714837
1.234,8.933508996
1.235,8.932435832
1.236,8.93131304
1.237,8.93020068
1.238,8.929195887
1.239,8.928546824
1.24,8.92787013
1.241,8.927279002
1.242,8.926609061
1.243,8.926129943
1.244,8.92559328
1.245,8.925109818
1.246,8.924600562
1.247,8.924060872
1.248,8.923383816
1.249,8.922681037
1.25,8.921855306
1.251,8.920730212
1.252,8.919625217
1.253,8.91851221
1.254,8.917187712
1.255,8.915644455
1.256,8.914407435
1.257,8.912922448
1.258,8.911486878
1.259,8.910072277
1.26,8.90863777
1.261,8.907080719
1.262,8.905862501
1.263,8.904478417
1.264,8.903260931
1.265,8.902186182
1.266,8.901264178
1.267,8.900595165
1.268,8.900048867
1.269,8.899417196
1.27,8.899015609
1.271,8.898434068
1.272,8.897795805
1.273,8.897145547
1.274,8.89646289
1.275,8.895719578
1.276,8.895139746
1.277,8.894418597
1.278,8.893453548
1.279,8.892234256
1.28,8.890895812
1.281,8.889537853
1.282,8.888133083
1.283,8.886739411
1.284,8.885352162
1.285,8.883996926
1.286,8.882624835
1.287,8.881268179
1.288,8.879963992
1.289,8.878736255
1.29,8.877522248
1.291,8.876568017
1.292,8.87569017
1.293,8.874911098
1.294,8.874274882
1.295,8.873852936
1.296,8.873326146
1.297,8.872835036
1.298,8.872408775
1.299,8.871617022
1.3,8.871217915
1.301,8.870592553
1.302,8.869924927
1.303,8.86942259
1.304,8.868637521
1.305,8.867533905
1.306,8.866530609
1.307,8.865340524
1.308,8.864061265
1.309,8.862777515
1.31,8.86147018
1.311,8.860050819
1.312,8.858687897
1.313,8.857482668
1.314,8.856350705
1.315,8.855180522
1.316,8.853840057
1.317,8.852684365
1.318,8.85153002
1.319,8.850610695
1.32,8.849835351
1.321,8.849062651
1.322,8.848537842
1.323,8.848040117
1.324,8.847600408
1.325,8.847103642
1.326,8.846590224
1.327,8.845994166
1.328,8.845402332
1.329,8.844804703
1.33,8.844294307
1.331,8.84372369
1.332,8.842706744
1.333,8.841763343
1.334,8.84051807
1.335,8.839199334
1.336,8.83795368
1.337,8.836686142
1.338,8.835217759
1.339,8.833992842
1.34,8.832559262
1.341,8.831271342
1.342,8.830106919
1.343,8.828862741
1.344,8.827784731
1.345,8.826762584
1.346,8.82597223
1.347,8.825158284
1.348,8.824679111
1.349,8.82417882
1.35,8.823856815
1.351,8.823513254
1.352,8.823063272
1.353,8.822594717
1.354,8.82204953
1.355,8.821632647
1.356,8.821069972
1.357,8.820470164
1.358,8.819815719
1.359,8.819033526
1.36,8.818021563
1.361,8.817042169
1.362,8.815892419
1.363,8.814561583
1.364,8.813359656
1.365,8.811941623
1.366,8.810709113
1.367,8.809211584
1.368,8.80790739
1.369,8.806546249
1.37,8.805274878
1.371,8.804220306
1.372,8.802904255
1.373,8.802000779
1.374,8.801222908
1.375,8.800435792
1.376,8.799995558
1.377,8.799327091
1.378,8.798933038
1.379,8.798592171
1.38,8.79799713
1.381,8.797593632
1.382,8.797081697
1.383,8.796525644
1.384,8.795922495
1.385,8.795249178
1.386,8.794383791
1.387,8.793450949
1.388,8.792163795
1.389,8.790875713
1.39,8.789471487
1.391,8.787953797
1.392,8.78635186
1.393,8.784789524
1.394,8.783257399
